epoch,train_loss,train_acc,val_loss,val_acc
1,0.883710,60.7861,0.445247,83.6667
2,0.366731,87.0833,0.338114,88.4333
3,0.269217,90.8861,0.322258,89.0500
4,0.205688,93.1009,0.298897,90.4000
5,0.159378,94.6648,0.320079,90.0000
6,0.126214,95.7620,0.355908,89.4333
7,0.099096,96.6269,0.363933,90.1083
8,0.076061,97.4361,0.428332,89.7083
9,0.064808,97.8056,0.460538,89.3083
10,0.052506,98.1639,0.446435,89.5500
11,0.050164,98.2843,0.493983,89.9250
12,0.041469,98.5787,0.564911,88.4000
13,0.038684,98.6833,0.544864,89.4333
14,0.035793,98.7407,0.524688,89.6500
15,0.034663,98.8611,0.633086,89.8000
16,0.029319,98.9935,0.620944,89.2833
17,0.029017,99.0722,0.563979,89.7917
18,0.027498,99.1306,0.588831,89.9000
19,0.027587,99.0954,0.632483,90.1750
20,0.025080,99.1981,0.631913,90.0167
