epoch,train_loss,train_acc,val_loss,val_acc
1,0.891816,61.0130,0.443194,83.7333
2,0.353031,87.6741,0.360660,87.3333
3,0.254637,91.4120,0.336273,88.5000
4,0.196814,93.5157,0.317781,89.9500
5,0.153027,94.9481,0.366118,88.9167
6,0.117262,96.1528,0.364609,89.7583
7,0.090164,97.0278,0.400623,89.7333
8,0.074856,97.4972,0.412462,88.7500
9,0.060628,97.9935,0.466054,89.2333
10,0.052683,98.1546,0.532460,89.1500
11,0.044386,98.4481,0.531488,89.5417
12,0.041810,98.5907,0.533956,89.5417
13,0.034874,98.8620,0.620702,89.3833
14,0.035778,98.7778,0.604262,89.0083
15,0.032258,98.9037,0.683791,89.3667
16,0.030393,98.9611,0.542223,89.3417
17,0.026534,99.1361,0.602115,89.4917
18,0.024905,99.1898,0.685565,89.2917
19,0.024829,99.1852,0.570910,89.6000
20,0.025226,99.1593,0.679896,89.5917
