epoch,train_loss,train_acc,val_loss,val_acc
1,0.885360,61.8231,0.503995,81.8083
2,0.359667,87.4028,0.375446,87.3167
3,0.256328,91.3537,0.343881,87.7500
4,0.195952,93.4833,0.358317,88.7250
5,0.149157,94.9787,0.350786,88.8667
6,0.111989,96.2454,0.431394,88.6917
7,0.088420,97.0000,0.460243,87.3000
8,0.066849,97.7278,0.498165,88.0083
9,0.054473,98.1250,0.616658,87.4083
10,0.049903,98.3083,0.526901,88.0583
11,0.043902,98.5083,0.561624,88.3083
12,0.034738,98.8491,0.643988,88.4167
13,0.036235,98.7880,0.601254,88.8667
14,0.032011,98.9269,0.636249,88.5667
15,0.030076,99.0278,0.612537,88.8583
16,0.031596,98.9583,0.687034,88.6167
17,0.027152,99.0685,0.701589,88.8083
18,0.025652,99.1500,0.691840,88.7917
19,0.025395,99.1370,0.754260,88.9833
20,0.026525,99.1194,0.619101,88.6917
