epoch,train_loss,train_acc,val_loss,val_acc
1,0.838974,64.1417,0.433053,84.5083
2,0.351130,87.8481,0.341712,88.3000
3,0.256986,91.2667,0.318578,89.6833
4,0.201787,93.3046,0.327243,89.7667
5,0.159285,94.7259,0.323573,89.8417
6,0.128270,95.7417,0.352666,90.1750
7,0.100509,96.6204,0.368674,89.8667
8,0.083278,97.1269,0.394699,89.6167
9,0.068358,97.7130,0.454905,89.5500
10,0.057097,98.0843,0.473619,89.6250
11,0.048075,98.3491,0.596387,87.6167
12,0.043240,98.5630,0.537959,89.7917
13,0.040770,98.6296,0.557714,89.4417
14,0.037259,98.7704,0.519734,89.7083
15,0.032864,98.8704,0.622106,88.7500
16,0.032712,98.9231,0.528458,89.7583
17,0.031096,98.9769,0.508924,89.1083
18,0.027521,99.1157,0.575217,89.4750
19,0.028498,99.0731,0.603387,90.0250
20,0.025007,99.1769,0.603155,89.8000
