epoch,train_loss,train_acc,val_loss,val_acc
1,4.066814,7.7960,3.700876,14.1800
2,3.448725,17.3920,3.123231,23.4500
3,3.036592,24.8600,2.790762,29.6600
4,2.736166,30.4200,2.520188,35.5300
5,2.497502,35.2920,2.371923,38.5200
6,2.308882,39.6300,2.204851,41.2500
7,2.157422,42.4440,2.083107,44.9200
8,2.039802,45.3740,2.037250,46.4600
9,1.925344,47.9340,1.959214,48.0600
10,1.835313,49.9020,1.900099,49.8500
11,1.756215,51.5260,1.882961,49.5500
12,1.683076,53.2540,1.832347,50.2900
13,1.624937,54.7540,1.779351,52.2600
14,1.570248,56.1760,1.772605,53.0500
15,1.511122,57.5720,1.712088,53.6200
16,1.474989,58.1720,1.712621,53.5600
17,1.422091,59.5080,1.713683,54.3200
18,1.394015,60.3720,1.703823,54.7100
19,1.353508,61.1080,1.691665,54.9400
20,1.313821,62.2840,1.692833,54.4000
21,1.277038,62.8000,1.701695,55.7600
22,1.251290,63.9100,1.699186,55.6700
23,1.226412,64.5360,1.672192,55.9200
24,1.205830,64.6540,1.694305,55.4600
25,1.176439,65.8480,1.681582,56.3900
26,1.157626,66.0000,1.698514,56.1300
27,1.137904,66.7960,1.649072,56.4100
28,1.112067,67.2820,1.673186,56.7700
29,1.099461,67.3620,1.698391,56.6600
30,1.072808,68.4060,1.673090,57.0700
31,1.063615,68.5100,1.671362,56.8300
32,1.041140,69.1520,1.676403,57.4000
33,1.020812,70.0160,1.755576,57.0000
34,1.006090,70.0320,1.735055,56.8900
35,0.995063,70.3980,1.677133,57.7900
36,0.979193,70.8840,1.687724,57.5300
37,0.962011,71.3720,1.716712,57.2500
38,0.959072,71.2480,1.744568,57.4000
39,0.938606,71.9440,1.700254,57.5900
40,0.922376,72.3000,1.720752,58.1800
41,0.918248,72.5300,1.748325,57.6600
42,0.908819,72.7180,1.757831,57.1900
43,0.893707,73.1620,1.760510,57.7700
44,0.881892,73.6260,1.761650,57.2100
45,0.868976,73.7700,1.785832,57.3300
46,0.864103,73.8420,1.788530,58.5500
47,0.851550,74.3540,1.806796,57.6400
48,0.840988,74.6580,1.850691,57.6000
49,0.842640,74.5520,1.801035,58.0100
50,0.838970,74.7540,1.832471,56.5500
