epoch,train_loss,train_acc,val_loss,val_acc
1,4.064971,7.6920,3.626414,14.4800
2,3.431272,17.3680,3.048709,24.9000
3,2.999203,25.1500,2.738018,30.5700
4,2.680860,31.2480,2.424493,37.3500
5,2.441583,36.5460,2.338903,39.3100
6,2.255230,40.6060,2.192147,42.3700
7,2.112168,43.5260,2.054201,44.9800
8,1.986235,46.0520,2.012400,46.4900
9,1.883475,48.9400,1.869675,49.4700
10,1.787559,50.8320,1.829769,50.6300
11,1.703973,52.6500,1.817547,51.2100
12,1.640125,54.4380,1.784696,52.2700
13,1.581295,55.6200,1.764998,52.6700
14,1.530962,57.0960,1.715824,53.5200
15,1.485151,58.0020,1.735680,53.3700
16,1.434181,59.2660,1.656544,54.7600
17,1.389625,60.4440,1.678451,54.8900
18,1.358524,60.9960,1.690664,55.2900
19,1.320926,62.2780,1.675386,55.3100
20,1.283331,62.7920,1.666073,56.0000
21,1.255059,63.6720,1.690040,55.4900
22,1.228157,64.3780,1.684842,54.9700
23,1.197850,65.2340,1.669470,55.7900
24,1.177589,65.3900,1.647521,56.4700
25,1.157484,66.1400,1.689809,56.3300
26,1.129835,66.6380,1.654420,56.7400
27,1.102075,67.7740,1.641671,56.9900
28,1.081147,68.3360,1.683371,56.5300
29,1.061310,68.8400,1.709207,57.3300
30,1.050929,68.9640,1.643099,57.4900
31,1.015579,69.6940,1.709729,57.2700
32,1.017555,69.8920,1.677439,57.8600
33,1.000007,70.4500,1.729987,56.6600
34,0.988706,70.7680,1.685481,57.2000
35,0.979641,70.8100,1.751215,56.4900
36,0.955915,71.3300,1.702437,57.2800
37,0.941665,71.8720,1.730371,57.6900
38,0.931568,72.0480,1.709010,58.0700
39,0.919561,72.4580,1.714421,57.7500
40,0.903846,72.8400,1.757467,57.7600
41,0.899198,73.1340,1.728605,57.9900
42,0.877760,73.5900,1.739591,58.3100
43,0.870739,73.7180,1.768273,58.0000
44,0.863003,73.9760,1.826439,57.3500
45,0.860763,74.3120,1.763545,58.6200
46,0.841807,74.5940,1.829834,57.8400
47,0.846225,74.4540,1.763757,58.2700
48,0.834764,74.8260,1.767833,58.0600
49,0.812414,75.5520,1.827956,57.5200
50,0.817971,75.5280,1.832789,58.1200
