epoch,train_loss,train_acc,val_loss,val_acc
1,4.072239,7.4760,3.582897,15.1000
2,3.438195,17.4500,3.141312,22.8300
3,3.021621,24.9720,2.717825,31.5900
4,2.693106,30.9760,2.434066,36.7400
5,2.447467,36.2740,2.279697,39.8100
6,2.261883,40.2960,2.200083,42.9100
7,2.115107,43.2620,2.059517,45.0700
8,1.988276,46.2460,1.957946,47.9200
9,1.884407,48.5680,1.873863,49.3300
10,1.812700,50.3860,1.853998,50.4100
11,1.726155,52.4040,1.813146,51.3300
12,1.662747,53.8920,1.772231,51.9600
13,1.602137,55.4240,1.774237,52.0500
14,1.545918,56.6400,1.758466,52.7300
15,1.497600,58.0660,1.757345,52.9400
16,1.457212,58.7460,1.822293,52.4300
17,1.412007,59.8960,1.712848,53.8900
18,1.365797,60.8500,1.709015,54.2000
19,1.338205,61.5520,1.654584,55.8600
20,1.308937,62.5100,1.722164,55.2600
21,1.273996,63.4360,1.669583,56.0700
22,1.238656,63.9360,1.683957,55.9700
23,1.213547,64.7100,1.681620,56.4800
24,1.182153,65.5860,1.661910,56.5500
25,1.167059,65.9480,1.690241,56.6400
26,1.152942,66.2740,1.732812,56.4800
27,1.132242,66.9400,1.670751,57.0700
28,1.100731,67.6360,1.671459,56.2600
29,1.081152,68.1140,1.709766,56.4200
30,1.065347,68.6460,1.730857,55.8100
31,1.042428,69.2840,1.702341,56.8100
32,1.035703,69.3760,1.716075,57.4600
33,1.013875,69.7100,1.720175,57.0200
34,1.000583,70.2420,1.723893,56.5900
35,0.980599,70.6440,1.729691,57.7100
36,0.976582,70.9620,1.690560,57.4600
37,0.963030,71.3240,1.736172,56.9900
38,0.945421,71.8180,1.733938,57.2300
39,0.944654,71.6460,1.719587,57.6600
40,0.919102,72.4200,1.738305,57.0800
41,0.915114,72.8200,1.749623,57.7000
42,0.903191,72.8940,1.765498,56.8500
43,0.898826,72.9280,1.766157,58.2300
44,0.885000,73.4900,1.761652,57.5200
45,0.872906,73.6000,1.758515,58.1100
46,0.859029,74.0900,1.794697,58.0200
47,0.849007,74.4360,1.852813,56.9400
48,0.842591,74.6060,1.805423,57.2700
49,0.843275,74.6940,1.838547,57.9100
50,0.831063,74.7000,1.849554,57.5000
