epoch,train_loss,train_acc,val_loss,val_acc
1,4.090155,7.0380,3.634339,14.5300
2,3.484569,16.2680,3.159762,22.6300
3,3.054825,24.2160,2.814938,28.9500
4,2.742678,30.0480,2.486963,35.6300
5,2.501419,35.1140,2.339690,39.0800
6,2.319272,38.8600,2.208935,42.5300
7,2.155996,42.5700,2.073450,45.2400
8,2.030490,45.2640,1.997367,46.3200
9,1.915089,47.9100,1.901046,48.2100
10,1.831629,49.5660,1.891510,49.2100
11,1.753826,51.9520,1.799767,51.7900
12,1.683150,53.2940,1.759235,52.3000
13,1.619605,54.7240,1.759757,52.3900
14,1.563202,56.1540,1.746441,52.6700
15,1.511742,57.4980,1.749206,53.1900
16,1.461634,58.4740,1.712822,53.9900
17,1.422172,59.6340,1.688247,54.6300
18,1.370157,60.8300,1.693371,55.0800
19,1.333816,61.4360,1.669291,55.3500
20,1.313730,62.4100,1.647326,55.8200
21,1.268207,63.3180,1.667139,55.3400
22,1.256080,63.5960,1.702921,54.6200
23,1.224937,64.4640,1.655283,55.9900
24,1.198978,64.8900,1.660867,56.4500
25,1.167044,65.8800,1.662226,56.6000
26,1.134579,66.8480,1.662593,57.1500
27,1.117112,67.2900,1.646835,57.2600
28,1.093597,67.6940,1.655252,56.6800
29,1.073340,68.3020,1.640150,57.3100
30,1.053078,68.8160,1.706674,57.0400
31,1.039211,69.2880,1.702846,56.4900
32,1.022059,69.5400,1.669124,58.0700
33,1.003729,70.0760,1.698524,57.2600
34,0.991453,70.4580,1.692814,57.6800
35,0.970791,70.7720,1.689046,57.5900
36,0.959377,70.9160,1.697645,58.0100
37,0.947862,71.6680,1.723352,57.6700
38,0.931082,72.1400,1.717447,57.8400
39,0.917155,72.4480,1.722330,57.6200
40,0.904363,72.7920,1.762619,57.6000
41,0.897971,73.0680,1.760127,57.7500
42,0.888005,73.2220,1.713773,58.3500
43,0.873999,73.5380,1.739571,57.7500
44,0.865489,73.5840,1.770846,57.9200
45,0.861519,73.7680,1.785339,58.5300
46,0.842340,74.5160,1.786342,58.2300
47,0.837754,74.6540,1.782581,57.9500
48,0.828693,74.7560,1.744182,58.4100
49,0.819389,75.1960,1.747929,58.1300
50,0.812663,75.3020,1.800768,58.1700
