epoch,train_loss,train_acc,val_loss,val_acc
1,1.860168,45.4306,1.072272,61.2963
2,0.773529,72.7176,0.736238,72.2593
3,0.622488,78.1620,0.694445,76.3704
4,0.513321,82.2870,0.537096,80.8148
5,0.414765,85.8102,0.403062,86.9259
6,0.347871,88.0694,0.367069,87.0000
7,0.315700,89.1806,0.300332,89.9630
8,0.259427,90.8287,0.239701,92.0370
9,0.228714,92.2870,0.244809,91.7407
10,0.196262,93.2315,0.275261,91.0370
11,0.175555,94.1157,0.164032,94.3704
12,0.168219,94.0093,0.225612,92.0370
13,0.154862,94.6574,0.190392,93.7037
14,0.149003,94.9167,0.193931,93.6667
15,0.126758,95.7361,0.160807,94.9259
16,0.123184,95.8333,0.147025,95.3333
17,0.121035,95.8750,0.177725,94.0370
18,0.109307,96.2917,0.193079,94.1111
19,0.106538,96.2824,0.143181,95.1111
20,0.096319,96.7037,0.147160,95.4444
21,0.109504,96.1806,0.189046,94.2222
22,0.094560,96.9167,0.192995,94.9259
23,0.090990,96.9537,0.127421,95.7037
24,0.092664,96.8194,0.239709,94.0000
25,0.091453,96.9815,0.175872,94.7407
26,0.077163,97.3565,0.176691,94.7407
27,0.072571,97.6343,0.165048,94.8519
28,0.089770,97.1528,0.148775,95.4074
29,0.078945,97.3889,0.155902,95.0741
30,0.076319,97.3889,0.153579,95.1111
31,0.079710,97.4398,0.151224,95.3704
32,0.072471,97.6991,0.185495,94.7778
33,0.077312,97.3796,0.159408,95.5556
34,0.063170,97.8657,0.161898,95.0000
35,0.069639,97.8148,0.206946,93.8519
36,0.081453,97.3611,0.169435,95.7037
37,0.052233,98.2407,0.154193,95.8148
38,0.063025,98.0046,0.131074,96.0741
39,0.058078,98.0787,0.137019,95.5556
40,0.074132,97.6574,0.228357,92.6667
41,0.059188,98.0046,0.183584,95.2963
42,0.056013,98.1204,0.298791,92.8889
43,0.057842,98.0787,0.206600,95.2963
44,0.059668,98.1528,0.191018,95.4074
45,0.045061,98.5278,0.196344,95.0370
46,0.050233,98.3750,0.188739,95.5185
47,0.041557,98.7407,0.187116,96.0741
48,0.050481,98.2917,0.139583,96.2963
49,0.056741,98.1481,0.182143,95.1852
50,0.057320,98.2685,0.177853,95.4074
