epoch,train_loss,train_acc,val_loss,val_acc
1,1.878353,42.7037,1.231393,54.4815
2,0.865891,68.4815,0.858613,68.7407
3,0.704872,74.8796,0.784671,72.1852
4,0.565715,79.9676,0.610122,80.4074
5,0.448026,84.5231,0.457471,84.3333
6,0.376151,86.8241,0.445821,85.0000
7,0.313204,88.9861,0.315146,90.0000
8,0.267604,90.8935,0.271071,91.1852
9,0.255715,91.2824,0.244475,92.0741
10,0.210171,92.9028,0.217629,93.3333
11,0.185527,93.5694,0.274884,90.8889
12,0.174492,94.1620,0.233805,92.2593
13,0.159867,94.7500,0.220794,93.4444
14,0.144750,94.9398,0.181747,94.6296
15,0.143906,94.9907,0.228556,93.4074
16,0.138308,95.4491,0.185504,94.1481
17,0.123158,95.8009,0.167479,95.6296
18,0.112559,96.1991,0.193154,93.8889
19,0.113123,96.2083,0.170177,94.2222
20,0.104948,96.5417,0.234916,93.3333
21,0.102225,96.4815,0.160851,95.0000
22,0.094257,96.7361,0.151617,95.4444
23,0.101521,96.6852,0.231978,93.1481
24,0.095334,96.8102,0.250653,92.5926
25,0.108941,96.4120,0.163223,95.2593
26,0.090811,97.0972,0.180942,94.8148
27,0.077822,97.3519,0.153304,95.5926
28,0.075418,97.3565,0.179311,94.9630
29,0.080829,97.2685,0.193840,95.0370
30,0.073923,97.4954,0.200618,94.5926
31,0.067118,97.8611,0.159636,94.5556
32,0.083042,97.1111,0.182526,95.2593
33,0.074536,97.5278,0.169670,95.2593
34,0.064566,97.8519,0.149017,96.3333
35,0.067220,97.7037,0.172053,95.6667
36,0.076639,97.4676,0.154895,95.4444
37,0.059904,97.9398,0.201581,95.6667
38,0.056203,98.2083,0.181944,95.0741
39,0.061480,97.9954,0.166356,94.7037
40,0.067231,97.8889,0.162263,95.5556
41,0.062484,97.9630,0.190910,95.4815
42,0.063498,97.8935,0.175051,95.4074
43,0.049056,98.3194,0.147557,96.2593
44,0.048874,98.4074,0.147866,96.0741
45,0.055638,98.1528,0.207234,94.2222
46,0.057674,98.1435,0.183887,95.5926
47,0.052406,98.1944,0.181091,95.2593
48,0.051585,98.1528,0.160838,95.8889
49,0.054462,98.3380,0.192501,95.2222
50,0.060458,98.0926,0.202565,95.6296
