epoch,train_loss,train_acc,val_loss,val_acc
1,1.552699,47.2407,1.050637,62.8148
2,0.745675,73.2222,0.683247,73.7407
3,0.575467,79.7037,0.594219,79.5185
4,0.461588,84.1343,0.427578,86.7407
5,0.372679,87.3657,0.336075,88.7037
6,0.300565,89.6806,0.301598,90.2963
7,0.263765,90.9769,0.302990,90.2222
8,0.224722,92.4028,0.271555,91.7778
9,0.199198,93.3657,0.227474,92.4074
10,0.174424,94.1528,0.180229,94.5556
11,0.171613,94.0185,0.185521,94.3704
12,0.159203,94.6204,0.186979,93.6296
13,0.133950,95.3750,0.202004,93.8519
14,0.125765,95.7870,0.159818,95.3333
15,0.112044,96.1250,0.143511,95.3704
16,0.111211,96.2593,0.175753,94.3333
17,0.112728,96.3287,0.230365,94.1481
18,0.108054,96.4444,0.162474,94.6296
19,0.102851,96.7361,0.126372,96.2593
20,0.101629,96.6065,0.161123,94.9630
21,0.095764,96.7824,0.153179,95.3333
22,0.094779,96.7778,0.159643,95.3333
23,0.102091,96.5741,0.167565,95.3333
24,0.088556,97.0324,0.156214,95.9259
25,0.083643,97.2500,0.160339,95.7037
26,0.080127,97.3056,0.172818,95.4074
27,0.080081,97.3102,0.181765,94.7778
28,0.067417,97.6713,0.156401,95.7778
29,0.074625,97.5139,0.147086,96.0370
30,0.065941,97.8519,0.180977,94.8519
31,0.076028,97.4444,0.131421,96.0370
32,0.068583,97.7361,0.171249,95.5556
33,0.064094,97.9630,0.161330,95.1481
34,0.073022,97.6204,0.179375,95.1111
35,0.057287,98.0509,0.134615,96.1111
36,0.080366,97.5972,0.240799,93.7778
37,0.055081,98.1759,0.156838,96.7778
38,0.054613,98.1250,0.149246,95.9630
39,0.064841,97.9167,0.185765,94.8889
40,0.053034,98.2593,0.169237,95.4074
41,0.065576,97.7176,0.183982,94.6296
42,0.067125,97.7454,0.195584,94.6667
43,0.044994,98.5139,0.174813,95.5556
44,0.052864,98.2778,0.177211,94.7778
45,0.057890,98.1065,0.160030,95.4444
46,0.055331,98.1852,0.145289,96.1481
47,0.056311,98.1944,0.165527,95.3704
48,0.048609,98.3704,0.186059,95.8889
49,0.055237,98.1898,0.181049,95.9630
50,0.047938,98.4167,0.235856,94.4815
