epoch,train_loss,train_acc,val_loss,val_acc
1,1.413907,48.7269,0.950218,65.5556
2,0.776456,72.3519,0.868148,71.7407
3,0.606255,78.6991,0.586336,79.0000
4,0.521585,81.9907,0.468602,84.1481
5,0.422255,85.5602,0.401047,86.4444
6,0.338863,88.6111,0.345255,89.3333
7,0.278911,90.5787,0.373717,87.9259
8,0.238211,91.8287,0.249781,92.0370
9,0.216475,92.4907,0.264468,91.6667
10,0.192615,93.5000,0.238229,92.1111
11,0.175202,94.1389,0.238568,92.4815
12,0.163812,94.4676,0.165618,94.6296
13,0.159329,94.6667,0.205274,93.4815
14,0.144733,95.0926,0.163005,94.7778
15,0.126584,95.7176,0.161726,94.9630
16,0.119409,96.0324,0.185581,93.9259
17,0.115552,95.9306,0.161129,94.9259
18,0.111568,96.2917,0.171257,95.1852
19,0.113079,96.2361,0.188558,93.9259
20,0.116590,96.1250,0.219485,93.5556
21,0.099368,96.6065,0.171550,95.2963
22,0.098535,96.7130,0.166296,94.8148
23,0.088468,97.0417,0.195056,94.4815
24,0.091482,96.8472,0.199040,94.2222
25,0.097142,96.8380,0.177378,94.7037
26,0.102410,96.4907,0.178300,94.6296
27,0.093585,96.8935,0.246424,92.7778
28,0.082552,97.1296,0.149470,95.5926
29,0.078355,97.2639,0.157624,95.2222
30,0.078693,97.3380,0.143620,95.6667
31,0.081136,97.2824,0.174494,95.4074
32,0.075103,97.5463,0.168718,95.3333
33,0.074972,97.4444,0.144731,96.0000
34,0.066899,97.8148,0.172153,94.8519
35,0.057838,97.9769,0.183684,95.1481
36,0.068107,97.7685,0.224668,94.4815
37,0.064440,97.7685,0.168848,95.7778
38,0.063126,97.9120,0.205569,94.7037
39,0.067006,97.7546,0.161874,95.6296
40,0.057512,98.1250,0.148780,95.7778
41,0.069891,97.7963,0.222480,94.0370
42,0.068465,97.8519,0.204890,94.2222
43,0.072882,97.6296,0.187845,95.5556
44,0.062946,97.9259,0.167738,96.1481
45,0.057453,98.1065,0.173984,95.6667
46,0.052798,98.2731,0.211742,95.1481
47,0.055470,98.0833,0.189094,95.2593
48,0.057992,98.1481,0.190465,95.4074
49,0.047377,98.4491,0.163730,96.2222
50,0.059389,98.0741,0.180321,95.6667
