epoch,train_loss,train_acc,val_loss,val_acc
1,0.633295,78.8370,0.384826,85.8333
2,0.302182,88.8648,0.270244,90.5333
3,0.245616,91.0963,0.256304,90.6167
4,0.216945,91.9537,0.231068,91.4167
5,0.197612,92.7741,0.229723,91.4167
6,0.179146,93.3833,0.211380,92.4333
7,0.162835,94.0741,0.208167,92.8000
8,0.151367,94.4407,0.214497,92.5167
9,0.140492,94.8741,0.230325,92.3833
10,0.124614,95.4370,0.237056,92.1333
11,0.117055,95.8241,0.212105,93.1667
12,0.107293,96.0204,0.211142,93.1333
13,0.097838,96.4593,0.248970,92.8500
14,0.092928,96.6130,0.221098,93.2333
15,0.085850,96.8963,0.273772,92.8833
16,0.082049,97.0407,0.263231,92.8833
17,0.076320,97.2907,0.269871,92.2833
18,0.069856,97.4870,0.274873,92.5000
19,0.067840,97.5833,0.290412,92.1500
20,0.063669,97.7222,0.316081,92.9667
21,0.061628,97.7333,0.295948,92.6000
22,0.058491,97.9741,0.287521,93.0833
23,0.058823,97.9111,0.288208,92.6667
24,0.055290,98.0889,0.294958,92.6833
25,0.057364,98.0222,0.308408,92.5833
26,0.048222,98.3463,0.361863,92.8667
27,0.052512,98.1907,0.399364,92.1167
28,0.050301,98.2259,0.347971,92.7000
29,0.052710,98.2611,0.325544,92.2500
30,0.051400,98.2685,0.340712,93.1167
31,0.047569,98.4019,0.372970,92.7833
32,0.043184,98.4852,0.384185,93.2333
33,0.044369,98.5611,0.414053,92.6333
34,0.044645,98.4833,0.395015,92.9167
35,0.041638,98.6204,0.381745,92.4667
36,0.046227,98.4167,0.360378,92.8167
37,0.042329,98.5519,0.507408,91.5833
38,0.050003,98.3444,0.368627,91.8667
39,0.041094,98.6370,0.380139,92.7667
40,0.044603,98.6111,0.381833,92.5833
41,0.044421,98.5037,0.431078,92.1000
42,0.046477,98.4907,0.424744,92.9833
43,0.040334,98.6741,0.423787,92.7333
44,0.040028,98.7056,0.429637,92.6333
45,0.041523,98.7148,0.399269,92.9667
46,0.042998,98.6556,0.477894,92.8000
47,0.040033,98.7056,0.459238,92.6333
48,0.038692,98.7907,0.426753,92.7667
49,0.042351,98.6667,0.495731,92.4167
50,0.039623,98.7722,0.486112,92.2167
