epoch,train_loss,train_acc,val_loss,val_acc
1,0.689172,78.1963,0.324197,87.6833
2,0.309693,88.6648,0.275622,90.1167
3,0.259951,90.3963,0.245456,90.9667
4,0.223836,91.7574,0.217320,91.7667
5,0.201898,92.5444,0.214956,92.0000
6,0.185602,93.2019,0.207697,92.4500
7,0.172575,93.6259,0.217482,92.5833
8,0.154029,94.3796,0.210554,92.4167
9,0.142781,94.7778,0.202659,92.5833
10,0.132956,95.0722,0.221703,92.7333
11,0.122584,95.5352,0.217447,92.8167
12,0.109889,95.9574,0.220487,92.7667
13,0.105400,96.1500,0.217975,92.8167
14,0.093591,96.6500,0.231950,93.1167
15,0.092407,96.6130,0.219467,92.8333
16,0.085657,96.8444,0.236559,93.1000
17,0.080450,97.0463,0.266645,93.0667
18,0.075790,97.3185,0.238981,93.1000
19,0.068445,97.5130,0.254190,92.4833
20,0.062129,97.7556,0.318107,92.6000
21,0.062999,97.7093,0.312361,92.9167
22,0.064406,97.6833,0.306468,92.6667
23,0.063053,97.7407,0.274776,93.0333
24,0.055115,97.9963,0.290344,92.8667
25,0.054872,98.1204,0.328480,92.5000
26,0.055233,98.0352,0.285639,92.8000
27,0.055639,98.1352,0.271917,93.1667
28,0.047732,98.3074,0.318771,92.8500
29,0.047830,98.3944,0.348528,92.8667
30,0.051320,98.2593,0.310801,92.2333
31,0.047402,98.4037,0.339781,92.9667
32,0.051153,98.3000,0.362072,92.8000
33,0.048256,98.3704,0.388521,92.5167
34,0.045763,98.5037,0.353413,93.2333
35,0.045123,98.5333,0.379250,92.9333
36,0.039360,98.7185,0.311786,92.4833
37,0.044799,98.4889,0.403337,92.8500
38,0.048535,98.4426,0.393455,92.2333
39,0.046554,98.4926,0.346251,92.7167
40,0.043626,98.6407,0.384481,92.7167
41,0.036380,98.8056,0.402120,92.4500
42,0.045559,98.5611,0.372610,93.0667
43,0.045184,98.5278,0.382730,92.7333
44,0.038950,98.7296,0.404350,93.0333
45,0.039311,98.7704,0.383599,92.2167
46,0.039491,98.7444,0.394412,92.9000
47,0.039495,98.7444,0.426221,92.6000
48,0.038211,98.8204,0.430996,92.6500
49,0.041613,98.6741,0.428486,92.6833
50,0.051446,98.4222,0.420106,92.4167
