epoch,train_loss,train_acc,val_loss,val_acc
1,0.629875,78.8426,0.325183,87.7833
2,0.296085,89.0241,0.262010,90.1000
3,0.242259,91.1981,0.246356,91.2000
4,0.216654,92.0611,0.239910,91.2167
5,0.193093,92.9926,0.217034,92.1500
6,0.178726,93.4481,0.212254,92.2833
7,0.163054,94.0352,0.202345,92.8167
8,0.149417,94.5463,0.200728,93.0833
9,0.137881,94.8870,0.207908,93.1667
10,0.127838,95.2241,0.213798,93.1500
11,0.118145,95.6222,0.217382,93.2000
12,0.108256,95.9704,0.194836,93.5500
13,0.099720,96.3315,0.217118,92.4333
14,0.091749,96.6963,0.220086,92.9167
15,0.089294,96.7593,0.268887,92.8000
16,0.082292,96.9833,0.228243,92.9500
17,0.078680,97.1852,0.260344,93.3000
18,0.072126,97.3889,0.246308,93.1167
19,0.065777,97.6926,0.266757,93.1333
20,0.065699,97.6481,0.266532,93.0833
21,0.065153,97.6111,0.284926,92.9500
22,0.055632,97.9370,0.290205,93.3333
23,0.057085,98.0074,0.298124,92.7667
24,0.057271,98.0241,0.316060,92.8500
25,0.049720,98.2611,0.306734,92.9667
26,0.056454,98.0611,0.296101,92.9833
27,0.053006,98.1907,0.317718,92.3667
28,0.049946,98.3130,0.315564,93.1833
29,0.054422,98.1241,0.307416,92.9667
30,0.041814,98.6167,0.333486,93.2000
31,0.046377,98.4315,0.359570,93.0167
32,0.048818,98.3833,0.361815,92.9500
33,0.046500,98.3981,0.344277,92.9500
34,0.045138,98.4648,0.335911,92.6167
35,0.042498,98.5370,0.356783,92.7167
36,0.045978,98.4074,0.360290,93.2333
37,0.047884,98.4000,0.358305,92.6833
38,0.040218,98.6741,0.341012,93.2333
39,0.041651,98.6167,0.365560,92.9500
40,0.041555,98.7056,0.343642,93.3333
41,0.042317,98.5981,0.383028,93.4667
42,0.040455,98.6722,0.382406,92.3667
43,0.047833,98.4407,0.386315,92.7333
44,0.045750,98.5204,0.402069,93.0000
45,0.041110,98.6778,0.392593,92.7667
46,0.039376,98.7333,0.359873,93.1333
47,0.039575,98.7852,0.384285,93.0667
48,0.038027,98.7333,0.417106,93.2167
49,0.040402,98.6685,0.405688,92.9833
50,0.045180,98.6111,0.442966,93.2000
