epoch,train_loss,train_acc,val_loss,val_acc
1,0.567897,80.1944,0.342376,87.4167
2,0.289304,89.5611,0.281598,89.5667
3,0.240466,91.2944,0.231983,91.4333
4,0.213500,92.1852,0.240542,91.2333
5,0.193101,93.0278,0.241855,90.9333
6,0.173300,93.6833,0.218239,91.9167
7,0.162226,94.0463,0.208160,92.5500
8,0.145736,94.6944,0.218557,92.1500
9,0.137790,95.0574,0.207632,92.3667
10,0.127178,95.2667,0.224691,92.0167
11,0.117739,95.7630,0.219683,92.6667
12,0.108728,96.0481,0.229240,92.3667
13,0.101266,96.3167,0.229500,92.7167
14,0.090785,96.6722,0.271754,92.5167
15,0.088994,96.7019,0.265909,92.0833
16,0.079046,97.1148,0.301839,92.4833
17,0.075221,97.2630,0.266399,92.7667
18,0.069248,97.5389,0.267915,92.2333
19,0.071010,97.4259,0.302481,92.5833
20,0.067966,97.6296,0.328913,92.4500
21,0.061290,97.8056,0.277973,92.5833
22,0.059518,97.8407,0.355275,92.1167
23,0.059211,97.9259,0.340151,92.3333
24,0.051098,98.1407,0.346912,92.8500
25,0.052914,98.1889,0.323290,92.7833
26,0.050670,98.2593,0.352216,92.1333
27,0.053954,98.1241,0.401683,92.1333
28,0.051496,98.2759,0.366501,92.3000
29,0.057648,98.0481,0.336147,92.3667
30,0.039334,98.5870,0.381894,92.7833
31,0.047014,98.4093,0.416694,92.2333
32,0.046657,98.4148,0.410307,92.0833
33,0.042967,98.5537,0.379795,92.5000
34,0.039928,98.6519,0.410670,91.9167
35,0.051524,98.2667,0.381168,92.4000
36,0.042694,98.6056,0.378575,92.2333
37,0.038100,98.6519,0.438106,92.4000
38,0.043646,98.6167,0.418990,92.2667
39,0.042086,98.5815,0.401886,92.0333
40,0.041670,98.6611,0.407434,92.3667
41,0.037109,98.7796,0.458801,92.3500
42,0.046008,98.5611,0.422452,92.4000
43,0.039131,98.7204,0.418134,92.6000
44,0.039709,98.6926,0.446166,92.3833
45,0.042837,98.6241,0.425674,92.7000
46,0.039640,98.7037,0.429082,92.5333
47,0.040688,98.6389,0.418403,92.2500
48,0.034955,98.8222,0.505115,92.8333
49,0.047608,98.5407,0.439804,91.7000
50,0.041132,98.6426,0.411569,92.3833
