epoch,train_loss,train_acc,val_loss,val_acc
1,2.942926,19.3068,1.750966,44.5946
2,1.033290,66.1912,0.430889,85.9985
3,0.230065,92.6343,0.202803,93.9565
4,0.100427,96.8635,0.060142,98.2733
5,0.062258,98.0898,0.065949,98.1982
6,0.038868,98.7821,0.042476,98.7613
7,0.040518,98.7696,0.044494,98.8739
8,0.043144,98.7946,0.034855,98.9489
9,0.025033,99.2326,0.022239,99.0991
10,0.032709,99.0574,0.020949,99.3619
11,0.021059,99.3785,0.114720,98.1982
12,0.030407,99.2117,0.024216,99.2868
13,0.009588,99.6997,0.022973,99.4745
14,0.030060,99.2117,0.019309,99.4369
15,0.017891,99.5704,0.055718,98.8363
16,0.025143,99.2826,0.030379,99.2492
17,0.029119,99.2993,0.015636,99.5871
18,0.015536,99.5787,0.031569,99.4745
19,0.029008,99.1658,0.030370,99.1742
20,0.037291,99.0824,0.033158,99.1366
21,0.018251,99.5329,0.047733,98.7988
22,0.016534,99.5746,0.009606,99.6622
23,0.024674,99.3535,0.102693,97.7477
24,0.024665,99.3911,0.013104,99.6622
25,0.023447,99.5370,0.011290,99.7372
26,0.005025,99.8498,0.008194,99.7372
27,0.009255,99.7623,0.032344,99.3243
28,0.011660,99.7372,0.059209,98.4985
29,0.017592,99.5829,0.020995,99.4369
30,0.038612,99.2451,0.081257,98.2733
31,0.027339,99.3785,0.007432,99.7748
32,0.019171,99.5746,0.015287,99.6997
33,0.013899,99.6663,0.018822,99.4369
34,0.011261,99.7831,0.017147,99.5120
35,0.028881,99.4077,0.032842,99.1742
36,0.018183,99.6413,0.004751,99.7748
37,0.016618,99.7039,0.014876,99.6622
38,0.024288,99.4161,0.020880,99.5120
39,0.017662,99.6455,0.069088,99.0991
40,0.036904,99.3660,0.066919,99.2492
41,0.026235,99.5621,0.068901,98.8363
42,0.017223,99.6663,0.007164,99.6997
43,0.016643,99.7414,0.021925,99.4745
44,0.006873,99.8207,0.024480,99.5871
45,0.013515,99.7497,0.059526,98.7988
46,0.031801,99.3869,0.018809,99.2117
47,0.015133,99.7080,0.009816,99.7372
48,0.013386,99.7748,0.025169,99.3619
49,0.010973,99.7706,0.014521,99.8498
50,0.021354,99.6038,0.018258,99.7372
