epoch,train_loss,train_acc,val_loss,val_acc
1,2.829009,21.3130,1.720693,45.0075
2,1.011842,65.9159,0.424775,86.2237
3,0.221103,92.9179,0.110908,96.6967
4,0.084178,97.4641,0.049803,98.4985
5,0.046063,98.6778,0.055541,98.2733
6,0.037213,98.8989,0.071715,97.8604
7,0.024871,99.2701,0.034501,99.1366
8,0.027826,99.2242,0.046235,98.7988
9,0.051745,98.6361,0.050760,98.5736
10,0.023882,99.3202,0.020624,99.5495
11,0.024724,99.3410,0.055995,98.6486
12,0.022953,99.3702,0.070324,98.5360
13,0.015611,99.5454,0.164314,96.8844
14,0.029245,99.2367,0.056979,98.8363
15,0.034176,99.1783,0.046281,99.2117
16,0.030239,99.3035,0.104882,97.1847
17,0.043594,98.9364,0.033221,99.1742
18,0.008210,99.7706,0.029652,99.5871
19,0.007546,99.8582,0.012631,99.7748
20,0.003884,99.9082,0.009946,99.6997
21,0.035969,99.2159,0.066821,98.3108
22,0.015664,99.6288,0.015687,99.6246
23,0.021605,99.4620,0.021177,99.6246
24,0.016026,99.6580,0.022531,99.6246
25,0.016609,99.6622,0.069382,98.6486
26,0.021128,99.5537,0.026028,99.6246
27,0.022482,99.4995,0.027289,99.3994
28,0.044081,99.1450,0.079929,98.5736
29,0.042024,99.1450,0.019790,99.5495
30,0.012726,99.6997,0.013212,99.7372
31,0.008372,99.8415,0.025568,99.4369
32,0.009330,99.7831,0.040132,99.0991
33,0.006669,99.8498,0.034857,99.3994
34,0.016087,99.6663,0.016297,99.5871
35,0.001937,99.9541,0.014908,99.8123
36,0.020109,99.6371,0.028796,99.3994
37,0.016906,99.6455,0.022515,99.8498
38,0.008321,99.8081,0.014116,99.8123
39,0.060066,98.8071,0.035695,99.4745
40,0.027973,99.4828,0.027749,99.6622
41,0.017025,99.6705,0.028404,99.6246
42,0.013361,99.7706,0.096879,97.5976
43,0.035428,99.3493,0.021594,99.5495
44,0.077907,98.9489,0.052804,99.1742
45,0.020672,99.5537,0.022951,99.5871
46,0.016048,99.7581,0.026837,99.1366
47,0.033865,99.4411,0.025396,99.5871
48,0.002958,99.9374,0.034099,99.6246
49,0.006803,99.9124,0.049660,99.7372
50,0.005997,99.8957,0.076652,99.3994
