epoch,train_loss,train_acc,val_loss,val_acc
1,2.788037,21.8385,1.733781,43.9940
2,0.844221,72.0053,0.379731,88.3634
3,0.180057,94.1942,0.109814,96.3589
4,0.079816,97.6685,0.050543,98.7237
5,0.042043,98.7362,0.075255,97.8228
6,0.072300,97.9146,0.048153,98.3859
7,0.021724,99.3619,0.017917,99.5120
8,0.038440,98.9198,0.057104,98.3483
9,0.035525,98.9323,0.029699,99.1366
10,0.032661,99.1241,0.026555,99.2868
11,0.033275,99.0365,0.038446,98.9865
12,0.020568,99.4203,0.019870,99.6246
13,0.008620,99.7497,0.011188,99.6622
14,0.016179,99.5162,0.024824,99.5495
15,0.026084,99.3577,0.059686,98.5736
16,0.028732,99.2743,0.017757,99.5495
17,0.019323,99.5162,0.011094,99.7748
18,0.018990,99.5078,0.040436,99.0991
19,0.038515,99.1283,0.026479,99.2117
20,0.022221,99.4119,0.063178,98.4985
21,0.032871,99.2284,0.026505,99.3994
22,0.013302,99.6330,0.010973,99.7748
23,0.017815,99.5871,0.078865,98.1607
24,0.059311,98.6862,0.069116,98.7237
25,0.028678,99.3202,0.017575,99.6622
26,0.018199,99.6079,0.014017,99.6622
27,0.008712,99.7748,0.005802,99.8498
28,0.019901,99.5078,0.028956,99.3243
29,0.011442,99.7497,0.084818,97.8604
30,0.017629,99.5078,0.027967,99.3619
31,0.032016,99.4161,0.018792,99.6246
32,0.014398,99.7289,0.014035,99.5495
33,0.021093,99.5746,0.036378,99.1742
34,0.039650,99.1909,0.022098,99.4745
35,0.020254,99.5787,0.034976,99.6246
36,0.023585,99.5579,0.026877,99.3243
37,0.022800,99.5037,0.009672,99.6997
38,0.024556,99.5621,0.026172,99.4369
39,0.048126,99.2409,0.020731,99.5120
40,0.016158,99.6288,0.009373,99.7372
41,0.003994,99.8916,0.006466,99.9249
42,0.007196,99.8457,0.013394,99.7748
43,0.007705,99.8665,0.148909,95.8333
44,0.024873,99.4953,0.012848,99.7372
45,0.030861,99.4286,0.014081,99.7748
46,0.006054,99.8498,0.015394,99.6246
47,0.015975,99.6872,0.026240,99.8123
48,0.010394,99.8248,0.008978,99.8874
49,0.006771,99.8624,0.013222,99.8498
50,0.004064,99.8832,0.010257,99.8123
