epoch,train_loss,train_acc,val_loss,val_acc
1,2.865200,19.6530,1.968434,36.9745
2,1.048597,65.2069,0.519924,84.5345
3,0.237562,92.5509,0.169872,95.7583
4,0.088300,97.2639,0.066532,98.1982
5,0.063327,97.9646,0.071463,98.3483
6,0.054067,98.4693,0.052979,98.6486
7,0.037703,98.8155,0.041447,99.0991
8,0.028264,99.1700,0.029125,99.2868
9,0.031245,99.1116,0.080527,98.1231
10,0.028089,99.1408,0.027779,99.2868
11,0.029452,99.1533,0.034737,99.1742
12,0.030043,99.1116,0.028952,99.4369
13,0.016453,99.4995,0.101567,97.7102
14,0.025433,99.2451,0.036356,98.7988
15,0.021063,99.4119,0.042299,99.2117
16,0.028515,99.2701,0.098165,97.7853
17,0.022359,99.4286,0.019139,99.6622
18,0.012123,99.6330,0.021022,99.6997
19,0.015373,99.6163,0.063287,98.5736
20,0.015250,99.6371,0.029519,99.3994
21,0.037921,99.0908,0.033939,99.1366
22,0.039992,99.0991,0.019450,99.5495
23,0.010618,99.7456,0.039960,99.1742
24,0.032674,99.1992,0.055085,98.8363
25,0.024294,99.4745,0.043780,98.9489
26,0.022572,99.4995,0.050963,98.7613
27,0.018613,99.5204,0.034040,99.3994
28,0.027643,99.4036,0.049945,98.6111
29,0.021478,99.5412,0.030228,99.3994
30,0.019283,99.5120,0.048965,98.9114
31,0.007605,99.8415,0.022164,99.6622
32,0.008511,99.7456,0.018875,99.5871
33,0.015330,99.6538,0.046194,99.3994
34,0.062149,98.7738,0.447812,93.2808
35,0.064810,98.8572,0.031042,99.5120
36,0.010751,99.7497,0.037589,99.1742
37,0.011455,99.7039,0.045127,99.2492
38,0.005532,99.8874,0.025867,99.6622
39,0.013395,99.7122,0.049511,99.4745
40,0.010830,99.7748,0.026533,99.6997
41,0.009568,99.8165,0.027697,99.3619
42,0.006262,99.8207,0.023591,99.6997
43,0.010012,99.8040,0.018206,99.6997
44,0.003173,99.9249,0.020662,99.6997
45,0.035481,99.3368,0.044152,99.2868
46,0.029230,99.3869,0.114847,98.6486
47,0.042194,99.1575,0.012850,99.6997
48,0.011503,99.7206,0.018741,99.7372
49,0.015190,99.6705,0.019105,99.6997
50,0.048872,99.1992,0.113987,98.8363
