epoch,train_loss,train_acc,val_loss,val_acc
1,3.174253,22.8585,1.966996,27.6663
2,1.804527,37.2917,1.655701,42.5554
3,1.569271,46.4797,1.518327,45.9345
4,1.407452,52.0887,1.378456,53.3263
5,1.276463,57.1110,1.362792,53.4319
6,1.171630,60.9716,1.210913,57.1278
7,1.025717,66.1230,1.066694,67.1595
8,0.941733,68.4698,0.990968,66.4203
9,0.861564,71.4386,0.931887,70.5385
10,0.780857,74.5013,0.897197,70.8553
11,0.719215,75.9211,0.963154,71.3833
12,0.670295,77.7048,0.856393,72.3337
13,0.613880,79.3710,0.897400,71.5945
14,0.552715,81.4011,0.932516,70.7497
15,0.496408,83.3959,1.047831,69.9050
16,0.456156,84.0765,1.022190,70.4329
17,0.414019,86.2122,0.967913,71.3833
18,0.424822,85.6372,1.068360,70.7497
19,0.352967,87.9488,1.097563,71.9113
20,0.325516,89.3922,1.091454,72.5449
21,0.322601,89.1575,1.112426,72.2281
22,0.297658,90.0610,1.046277,74.2344
23,0.228845,92.4079,1.283657,71.5945
24,0.245709,91.7977,1.265839,72.2281
25,0.224688,92.4666,1.196974,71.3833
26,0.203263,93.0533,1.175035,73.2841
27,0.190187,93.5931,1.280945,72.5449
28,0.197461,93.3232,1.442414,71.1721
29,0.172223,94.1211,1.305442,72.2281
30,0.161152,94.7078,1.716392,70.5385
31,0.176645,94.0976,1.226989,73.9176
32,0.165079,94.6726,1.727516,68.3210
33,0.130758,95.7287,1.386255,74.4456
34,0.123089,95.9517,1.431376,72.5449
35,0.148466,95.4236,1.595851,70.1162
36,0.140498,95.3532,1.521668,72.4393
37,0.101634,96.3037,1.436097,72.3337
38,0.140851,95.4353,1.349807,72.5449
39,0.112336,96.2333,1.473521,74.5512
40,0.099400,96.7613,1.503531,74.7624
41,0.096020,96.8787,1.553196,73.7064
42,0.132006,95.6935,1.651048,70.7497
43,0.131784,95.7874,1.596270,71.8057
44,0.104514,96.6322,1.513987,73.1785
45,0.092912,96.9843,1.562456,72.6505
46,0.071537,97.7118,1.989375,71.4889
47,0.131162,95.8460,1.529988,74.0232
48,0.091242,97.1134,1.617754,73.8120
49,0.101026,96.7965,1.479016,75.2904
50,0.094071,96.9256,1.661564,71.5945
