epoch,train_loss,train_acc,val_loss,val_acc
1,4.615080,23.3865,1.922819,32.5238
2,1.708671,42.0089,1.560345,47.2017
3,1.446014,51.5841,1.391212,55.7550
4,1.270509,58.1788,1.262713,58.0781
5,1.148925,62.4736,1.157059,60.6125
6,1.045672,64.9026,1.154981,62.5132
7,0.955670,68.6341,1.156061,63.5692
8,0.881986,70.7815,1.092407,64.8363
9,0.820317,73.1753,1.025509,68.0042
10,0.744668,75.4283,1.027034,68.8490
11,0.732611,75.8155,1.133591,66.6315
12,0.656474,78.2915,0.925808,71.3833
13,0.562482,81.5419,1.042083,69.0602
14,0.520441,82.2929,1.038046,68.3210
15,0.499896,83.2316,1.025611,69.6938
16,0.455910,84.6632,1.091925,71.4889
17,0.407732,86.6346,1.034189,68.9546
18,0.388170,87.1861,1.081784,71.5945
19,0.325445,89.0871,1.202890,69.3770
20,0.300365,90.2370,1.132013,70.7497
21,0.271648,91.0584,1.220871,73.4952
22,0.256826,91.3987,1.375604,70.4329
23,0.239577,92.1732,1.420717,70.7497
24,0.228055,92.4079,1.351720,70.0106
25,0.222268,92.5135,1.333651,71.4889
26,0.207215,93.1471,1.462733,69.1658
27,0.181466,93.7925,1.432691,72.1225
28,0.181367,93.9568,1.417318,70.7497
29,0.178700,93.9568,1.527988,70.2218
30,0.155204,94.8017,1.372081,71.3833
31,0.154185,95.0129,1.645735,70.9609
32,0.149390,95.2241,1.512253,72.1225
33,0.114745,96.1746,1.676406,70.3273
34,0.173088,94.1915,1.553150,72.4393
35,0.117601,96.3154,1.569405,72.5449
36,0.134447,95.6231,1.616294,72.8617
37,0.144818,95.1772,1.636823,70.2218
38,0.130369,96.1981,1.535088,70.8553
39,0.127076,95.8930,1.599688,73.0729
40,0.115946,96.3741,1.607016,72.9673
41,0.117754,96.1042,1.659698,72.3337
42,0.108564,96.5736,1.489029,71.4889
43,0.097354,96.9256,1.560424,71.9113
44,0.085460,97.4302,1.664385,73.3897
45,0.098458,96.9491,1.676770,71.0665
46,0.076492,97.6062,2.019669,70.0106
47,0.095756,97.2072,1.789501,72.8617
48,0.076290,97.4302,1.698828,72.9673
49,0.094179,97.4067,1.669809,72.2281
50,0.088812,97.1720,1.682459,72.7561
