epoch,train_loss,train_acc,val_loss,val_acc
1,2.536665,24.3253,1.860042,37.4868
2,1.682853,42.5487,1.737380,40.0211
3,1.423769,52.2061,1.328160,55.1214
4,1.249460,58.7069,1.153651,61.8796
5,1.114952,62.9664,1.088643,65.1531
6,0.977436,68.4581,0.982401,68.6378
7,0.923839,69.9366,0.985487,68.8490
8,0.808961,73.4687,0.960682,71.2777
9,0.748789,75.5808,0.823747,72.5449
10,0.662407,77.7165,0.864104,73.3897
11,0.609473,79.8756,0.937581,70.6441
12,0.558533,81.5184,0.899568,74.5512
13,0.504300,82.9969,0.859319,71.9113
14,0.477200,84.2408,0.920407,74.2344
15,0.398712,86.6346,0.905805,74.5512
16,0.378074,86.9045,0.901792,74.7624
17,0.363591,88.0075,0.947629,74.6568
18,0.313686,89.3100,0.979880,73.3897
19,0.253771,91.7156,1.157956,74.4456
20,0.265391,91.0819,1.020527,74.9736
21,0.216711,92.7247,1.111870,75.3960
22,0.208932,93.0650,1.018580,75.0792
23,0.185638,93.9333,1.055621,75.6072
24,0.204367,93.1589,1.020089,75.5016
25,0.195026,93.4757,1.034979,75.7128
26,0.153621,94.8369,1.153747,76.3464
27,0.156129,94.8134,1.082186,75.5016
28,0.127619,95.8226,1.059660,76.1352
29,0.135753,95.7287,1.132514,75.1848
30,0.139445,95.6583,1.192927,76.6631
31,0.135322,95.6818,1.394170,73.2841
32,0.124069,95.9634,1.191380,75.6072
33,0.127151,95.8460,1.396415,75.6072
34,0.122304,96.1394,1.241612,76.4520
35,0.111903,96.6205,1.319367,76.0296
36,0.125808,95.9986,1.378829,74.2344
37,0.105048,96.5032,1.421293,73.6008
38,0.079034,97.4536,1.451018,75.3960
39,0.071411,97.5827,1.791580,75.0792
40,0.088845,97.1251,1.606570,74.1288
41,0.082321,97.3363,1.479559,75.7128
42,0.077765,97.5006,1.477473,76.4520
43,0.121556,96.5618,1.339465,73.8120
44,0.085368,97.3715,1.210332,75.7128
45,0.084897,97.3363,1.394072,74.1288
46,0.093826,96.8904,1.290023,76.1352
47,0.094732,97.2072,1.364070,75.3960
48,0.081850,97.3363,1.450203,76.4520
49,0.081067,97.6179,1.609681,73.3897
50,0.075814,97.6883,1.569816,77.2967
