epoch,train_loss,train_acc,val_loss,val_acc
1,2.579650,24.3839,1.916719,34.7413
2,1.718230,41.4222,1.631435,46.7793
3,1.468559,50.6454,1.434696,54.4879
4,1.274910,57.9324,1.275730,58.1837
5,1.116391,62.9430,1.157680,62.4076
6,1.011549,66.4046,1.089297,65.9979
7,0.900269,70.3708,1.039519,66.1035
8,0.827500,72.8585,1.097381,65.8923
9,0.751785,74.9589,1.004293,69.1658
10,0.666985,77.7282,0.978954,68.6378
11,0.606056,80.1807,0.860087,74.2344
12,0.551371,81.5067,1.103099,67.5818
13,0.496508,83.4546,0.981666,71.4889
14,0.464042,84.6632,1.050473,71.8057
15,0.415037,85.7193,0.985643,72.1225
16,0.355226,88.2774,0.995047,74.4456
17,0.326719,89.3570,1.093827,72.3337
18,0.298836,89.9906,1.049255,73.0729
19,0.239316,92.1263,1.246683,72.4393
20,0.239874,92.3844,1.223794,72.6505
21,0.228896,92.2319,1.255687,69.1658
22,0.209422,93.0885,1.340374,72.0169
23,0.165576,94.7078,1.326285,73.1785
24,0.177171,94.0390,1.266674,74.3400
25,0.173439,94.5201,1.388060,72.5449
26,0.162297,94.4849,1.415626,73.2841
27,0.133356,95.6348,1.450152,72.1225
28,0.157951,94.7195,1.286656,73.9176
29,0.130333,95.7522,1.408872,72.8617
30,0.117096,96.5384,1.500406,72.7561
31,0.116521,96.1629,1.229450,74.1288
32,0.087527,97.1251,1.509189,73.4952
33,0.096674,96.9843,1.487133,72.6505
34,0.104026,96.4680,1.575746,74.2344
35,0.097774,96.9373,1.438814,74.2344
36,0.104880,96.4328,1.470306,73.1785
37,0.102032,96.6557,1.540759,74.1288
38,0.092155,97.0195,1.620868,72.7561
39,0.086929,97.0782,1.762571,74.2344
40,0.100319,96.7379,1.410655,74.4456
41,0.074848,97.5006,1.376715,75.0792
42,0.093436,97.0547,1.372984,74.6568
43,0.073978,97.6297,1.429548,74.3400
44,0.090154,97.0899,1.424907,76.6631
45,0.075082,97.4419,1.319597,75.8184
46,0.080438,97.5358,1.367531,75.6072
47,0.078250,97.6062,1.687629,72.5449
48,0.067939,98.0990,1.529213,73.3897
49,0.077310,97.5827,1.383091,74.3400
50,0.053457,98.4041,1.776708,72.2281
