epoch,train_loss,train_acc,val_loss,val_acc
1,0.898380,70.1097,0.354589,89.3530
2,0.287573,91.5139,0.282333,92.0693
3,0.212976,93.7783,0.247216,92.9702
4,0.166283,95.1874,0.293686,92.2195
5,0.128767,96.2688,0.265730,93.1613
6,0.096438,97.1106,0.276618,92.9429
7,0.072568,97.6885,0.293498,92.8201
8,0.060344,98.0904,0.347088,92.8474
9,0.053765,98.2330,0.340608,92.8064
10,0.041390,98.6713,0.397508,91.8782
11,0.043705,98.5819,0.445571,92.4652
12,0.032002,98.9777,0.410134,93.1340
13,0.030836,99.0065,0.441719,92.9702
14,0.032156,98.9990,0.487725,92.8883
15,0.029914,99.0657,0.504900,92.8883
16,0.029574,99.1157,0.413307,92.7791
17,0.027320,99.2113,0.471643,92.8474
18,0.027777,99.1901,0.487010,93.0794
19,0.022035,99.2902,0.468841,92.7109
20,0.024564,99.2932,0.530623,92.2741
21,0.024837,99.2249,0.590480,92.4652
22,0.025194,99.2613,0.532306,92.9156
23,0.018240,99.4555,0.540177,92.7928
24,0.024719,99.2492,0.523718,92.9429
25,0.016475,99.5146,0.557948,92.5471
26,0.020779,99.3417,0.548007,92.7928
27,0.024053,99.2978,0.508654,93.3388
28,0.017597,99.4570,0.663526,92.5880
29,0.023215,99.2917,0.552339,92.8474
30,0.014461,99.5783,0.603239,93.2023
31,0.019001,99.4722,0.546091,92.4242
32,0.020431,99.3766,0.588874,92.9156
33,0.018734,99.4570,0.692045,92.4925
34,0.022706,99.3766,0.592532,93.0794
35,0.020215,99.4828,0.598441,92.8474
36,0.014735,99.6011,0.634884,92.9429
37,0.012976,99.6208,0.644623,92.6153
38,0.017897,99.4798,0.672641,93.0385
39,0.021331,99.3797,0.698825,92.4652
40,0.016364,99.5526,0.597835,93.2023
41,0.009803,99.6967,0.681823,93.1067
42,0.015894,99.5556,0.660546,92.7518
43,0.021603,99.4085,0.719101,92.6699
44,0.016132,99.5298,0.716783,92.8883
45,0.016693,99.5283,0.776351,92.7245
46,0.012850,99.6269,0.751752,92.9156
47,0.020654,99.4540,0.779092,93.3251
48,0.012959,99.6496,0.646236,92.8337
49,0.018236,99.5162,0.724529,92.6290
50,0.012108,99.6345,0.750636,93.1750
