epoch,train_loss,train_acc,val_loss,val_acc
1,0.981706,67.6647,0.362657,89.1073
2,0.304206,91.0907,0.280523,91.6052
3,0.223722,93.6054,0.234137,93.2159
4,0.175397,95.0388,0.247763,92.4652
5,0.133395,96.1551,0.244442,93.5026
6,0.101686,97.0575,0.264241,92.6836
7,0.085478,97.3412,0.285086,93.0521
8,0.065227,97.9858,0.308554,92.7655
9,0.057046,98.2042,0.296391,93.0794
10,0.044920,98.4833,0.348054,92.6426
11,0.043451,98.5970,0.355981,93.2432
12,0.038593,98.7532,0.369729,93.3797
13,0.035814,98.8473,0.398461,93.1067
14,0.035671,98.8533,0.372394,93.4070
15,0.027068,99.1658,0.395026,92.7928
16,0.028992,99.0566,0.471529,92.8337
17,0.027202,99.1006,0.474149,92.9156
18,0.029275,99.1082,0.456056,92.4515
19,0.026796,99.2113,0.557956,92.4925
20,0.025264,99.2037,0.480853,93.5299
21,0.027318,99.1400,0.481973,92.8883
22,0.018476,99.4145,0.459137,93.4070
23,0.025895,99.2356,0.464398,92.8610
24,0.023346,99.2887,0.515317,93.3388
25,0.021679,99.3372,0.489609,93.1477
26,0.018734,99.4464,0.513850,93.0931
27,0.026512,99.2052,0.457293,92.6836
28,0.019609,99.4434,0.540015,93.2023
29,0.022104,99.3235,0.465349,93.5572
30,0.020477,99.3933,0.459523,93.4207
31,0.017954,99.5040,0.593398,92.7791
32,0.023241,99.3205,0.534931,93.1750
33,0.018959,99.4600,0.571953,93.2296
34,0.014753,99.5617,0.580185,93.4070
35,0.018057,99.4782,0.577921,93.0658
36,0.021537,99.4039,0.564283,92.6563
37,0.016460,99.5344,0.604964,92.8883
38,0.018561,99.4555,0.585827,93.0794
39,0.019474,99.4570,0.626241,93.3524
40,0.020370,99.4949,0.539507,93.2023
41,0.015053,99.5677,0.583699,92.9975
42,0.018804,99.4479,0.595081,92.7655
43,0.019245,99.4691,0.550624,93.0112
44,0.016174,99.5571,0.654623,92.5198
45,0.015998,99.5647,0.606681,92.9975
46,0.014725,99.5935,0.660478,92.9975
47,0.017693,99.4964,0.589205,93.3388
48,0.016268,99.5783,0.787003,93.0112
49,0.022713,99.4115,0.547179,93.2569
50,0.011460,99.6557,0.641539,93.1204
