epoch,train_loss,train_acc,val_loss,val_acc
1,0.959352,67.8998,0.372798,88.6295
2,0.288265,91.4380,0.268842,91.8646
3,0.213294,93.8572,0.261593,93.3251
4,0.166458,95.2541,0.260409,93.3661
5,0.133920,96.1111,0.228771,93.6254
6,0.098389,97.0105,0.265576,93.6664
7,0.078858,97.5019,0.267108,93.5981
8,0.060450,98.0798,0.328983,93.2705
9,0.056366,98.2254,0.309163,93.1613
10,0.048368,98.3847,0.417507,93.3524
11,0.042037,98.6653,0.356383,93.8029
12,0.035920,98.8685,0.409035,92.9702
13,0.030523,99.0232,0.439536,92.7382
14,0.034759,98.8640,0.384020,93.7346
15,0.032695,98.9216,0.391059,93.0658
16,0.029923,99.0884,0.402224,93.3388
17,0.022872,99.2887,0.477284,93.6800
18,0.028157,99.1779,0.524301,92.6836
19,0.026541,99.2067,0.481078,93.5435
20,0.026374,99.2158,0.505455,93.5845
21,0.034579,98.9519,0.438184,93.3388
22,0.018247,99.4206,0.523946,92.9566
23,0.020077,99.3645,0.518478,93.3115
24,0.023994,99.2765,0.508542,93.1340
25,0.020529,99.3827,0.471298,93.0658
26,0.021979,99.3569,0.557731,93.5299
27,0.021698,99.3781,0.542613,93.2296
28,0.024631,99.2856,0.564851,93.5981
29,0.020359,99.4130,0.546930,93.2978
30,0.015774,99.5253,0.561098,93.5026
31,0.015168,99.5450,0.566331,93.3115
32,0.021289,99.4070,0.545616,93.8438
33,0.020205,99.4009,0.545516,92.8883
34,0.020462,99.4070,0.540643,93.0931
35,0.023218,99.3296,0.525915,93.4616
36,0.013580,99.6193,0.618306,92.8610
37,0.018223,99.4889,0.659951,92.9975
38,0.021047,99.3933,0.574836,93.5435
39,0.013792,99.6026,0.606484,93.3934
40,0.013802,99.6314,0.570532,93.2705
41,0.023204,99.3417,0.659028,93.1340
42,0.016910,99.5040,0.582885,93.5299
43,0.015088,99.5738,0.655828,93.6118
44,0.014441,99.5859,0.594185,93.5299
45,0.012679,99.6496,0.733646,93.1613
46,0.017539,99.5480,0.598688,92.9975
47,0.014707,99.6102,0.641791,93.5435
48,0.014605,99.6087,0.617739,93.7210
49,0.016691,99.5677,0.647653,93.0931
50,0.016667,99.5510,0.584875,93.2842
