epoch,train_loss,train_acc,val_loss,val_acc
1,0.939966,68.3578,0.368248,88.9708
2,0.294926,91.1241,0.322863,90.9364
3,0.220367,93.5842,0.262829,92.9293
4,0.174234,95.0130,0.241765,93.2705
5,0.133377,96.1232,0.253439,93.2159
6,0.104913,96.9043,0.286419,93.1204
7,0.080458,97.4367,0.311548,93.0931
8,0.066685,97.8265,0.354781,93.0385
9,0.054374,98.2755,0.376558,92.8474
10,0.044339,98.5439,0.421816,92.8201
11,0.037227,98.7866,0.480564,93.1886
12,0.037650,98.7896,0.445854,92.6153
13,0.037330,98.7987,0.452038,92.9975
14,0.030536,99.0187,0.466149,93.0385
15,0.033815,98.9322,0.422417,92.6017
16,0.027234,99.1810,0.509689,93.0248
17,0.027260,99.1415,0.605844,92.9156
18,0.028116,99.1370,0.561058,92.8064
19,0.023144,99.2887,0.551438,92.8610
20,0.024835,99.2522,0.519530,92.5334
21,0.025036,99.2431,0.528562,92.8337
22,0.021425,99.3569,0.592674,92.4652
23,0.025055,99.2083,0.520984,92.5334
24,0.020539,99.4024,0.670307,92.8610
25,0.026036,99.2811,0.622140,93.3388
26,0.018237,99.4782,0.549047,92.9156
27,0.019103,99.3948,0.700265,92.9839
28,0.023248,99.3235,0.631282,93.0112
29,0.018705,99.4509,0.529566,93.2842
30,0.012493,99.6466,0.637827,93.2569
31,0.018479,99.4707,0.686093,93.0931
32,0.020972,99.3736,0.657931,93.0658
33,0.017692,99.4767,0.624611,92.5607
34,0.022665,99.3402,0.660821,93.0658
35,0.016339,99.5374,0.635434,93.5299
36,0.014889,99.6011,0.735865,92.6290
37,0.018035,99.4631,0.664936,93.1750
38,0.014801,99.5601,0.953439,92.8337
39,0.024959,99.3721,0.725028,93.0521
40,0.022475,99.3660,0.706762,92.9975
41,0.011414,99.6891,0.721675,92.6836
42,0.015672,99.5510,0.688822,93.2569
43,0.015850,99.5617,0.745471,93.3934
44,0.019679,99.4661,0.776381,92.6563
45,0.015666,99.5692,0.775711,92.9293
46,0.014450,99.6087,0.842710,92.4379
47,0.016169,99.5814,0.757842,93.1613
48,0.017993,99.4964,0.782820,93.0248
49,0.013386,99.6527,0.829065,92.9702
50,0.012487,99.6496,0.762592,93.2842
